"filename", "language", "JSON", "JSON with Comments", "HTML", "TypeScript", "SCSS", "JavaScript", "Markdown", "XML", "YAML", "comment", "blank", "total"
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-header\default-header.component.ts", "TypeScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 14, 130
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-layout.component.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 4, 46
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-layout.component.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 14, 4, 35
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\default-layout.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\default-layout\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\layout\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\shared\edad.pipe.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\utils\utils.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\candidates\components\candidate-list\candidate-list.component.html", "HTML", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 67
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\candidates\components\candidate-list\candidate-list.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 9, 60
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\candidates\model\candidate.model.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\candidates\routes.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\candidates\service\candidate.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\charts\charts.component.html", "HTML", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 2, 68
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\charts\charts.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\charts\charts.component.ts", "TypeScript", 0, 0, 0, 107, 0, 0, 0, 0, 0, 20, 17, 144
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\charts\routes.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\components\country-list\country-list.component.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 1, 35
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\components\country-list\country-list.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 10, 70
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\components\region-form\region-form.component.html", "HTML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
